name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mumbai,2024-03-04,28.4,20.9,24.6,28.9,20.9,24.7,15.6,58.3,0,0,0,,0,0,31.7,18.4,325.4,1013.6,3.4,3.5,274,23.9,9,10,2024-03-04T06:55:29,2024-03-04T18:45:27,0.79,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-05,31,20.1,25.8,30.4,20.1,25.6,12.6,45.6,0,0,0,,0,0,41,21.7,329.1,1012.8,0.8,3.3,280.9,24.5,10,10,2024-03-05T06:54:43,2024-03-05T18:45:45,0.83,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-06,31,21.6,26.6,29.6,21.6,26,11,40.2,0,0,0,,0,0,37.1,17.8,330.6,1012.6,10.5,3.2,283.6,24.6,10,10,2024-03-06T06:53:57,2024-03-06T18:46:03,0.86,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-03-07,32.4,22,27.5,32.5,22,27.3,14,44.8,0,0,0,,0,0,32.4,22.3,334.7,1011.9,3.9,3,276.1,23.8,9,10,2024-03-07T06:53:11,2024-03-07T18:46:21,0.9,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-08,33.4,22.7,28.9,32.4,22.7,28,10.2,32.3,0,0,0,,0,0,36,18.7,336.7,1012,3.5,3.1,279.2,24.2,9,10,2024-03-08T06:52:24,2024-03-08T18:46:39,0.93,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-09,33.4,23.3,28.6,32.7,23.3,28.1,12.1,36.8,0,0,0,,0,0,36.7,20.5,326.8,1012,1.3,3.4,280.9,24.3,10,10,2024-03-09T06:51:36,2024-03-09T18:46:56,0.96,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-10,33.4,22.6,28,32.8,22.6,27.8,13.8,43,0,0,0,,0,0,33.5,16.6,313.6,1013.1,0.8,3,284.5,24.6,10,10,2024-03-10T06:50:48,2024-03-10T18:47:13,0,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-03-11,32.4,22.9,28.2,32.6,22.9,28,13.4,41.5,0,0,0,,0,0,37.4,19.9,320.6,1014.3,0.8,3.3,281.9,24.4,10,10,2024-03-11T06:50:00,2024-03-11T18:47:29,0.03,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-03-12,33.4,24.7,29.7,34.2,24.7,29.6,14.9,41.8,0,0,0,,0,0,38.9,17.6,330.8,1013.2,1.4,3.3,281.9,24.3,10,10,2024-03-12T06:49:12,2024-03-12T18:47:46,0.06,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-13,30.7,25.4,27.9,31.5,25.4,28.3,19.1,61.1,0,0,0,,0,0,32.8,20.5,322.2,1013.1,2,3.2,284.4,24.7,10,10,2024-03-13T06:48:23,2024-03-13T18:48:02,0.1,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
